agents,atk_entry_rate,def_entry_rate,atk_entry_success,def_entry_success,atk_kills_per_engagement,def_kills_per_engagement,atk_assist_rate,def_assist_rate,atk_adr,def_adr,atk_acs,def_acs,role,n_player_maps,cluster_k4,cluster_k6
kayo,0.10934182590233546,0.12687312687312688,0.32038834951456313,0.5039370078740157,0.4734607218683652,0.5024975024975025,0.2927927927927928,0.25741839762611274,121.05883699633699,127.67069597069597,193.70746336996336,197.11433150183151,initiator,140,1,5
killjoy,0.12570224719101122,0.12809315866084425,0.3575418994413408,0.6079545454545454,0.4691011235955056,0.5342066957787481,0.09644670050761421,0.10952689565780946,115.47760770975057,134.55187074829934,165.7721088435374,193.7358276643991,sentinel,216,0,1
neon,0.24180327868852458,0.19530321046373364,0.43341404358353514,0.5768645357686454,0.4853629976580796,0.5154577883472057,0.11571317628785918,0.12714063310845874,121.73518237082067,137.9735984464708,195.12619047619046,217.23946301925025,duelist,450,3,1
omen,0.10582444626743231,0.12894736842105264,0.45542635658914726,0.48665620094191525,0.4883100902378999,0.48582995951417,0.2116410670978173,0.21212121212121213,111.68953162222394,110.57860344783421,174.6090489425105,173.43994155417232,controller,726,1,4
phoenix,0.17228464419475656,0.1651705565529623,0.3804347826086957,0.6086956521739131,0.5149812734082397,0.5098743267504489,0.15772870662460567,0.17359050445103857,146.17222222222222,157.21296296296296,227.15370370370368,235.2203703703704,duelist,70,3,1
raze,0.22761596548004315,0.16470588235294117,0.4194312796208531,0.5551948051948052,0.49568500539374327,0.5256684491978609,0.0951683748169839,0.10096153846153846,143.70862193362194,146.8235930735931,223.31277056277057,223.79707792207793,duelist,238,3,1
reyna,0.2375,0.21875,0.42105263157894735,0.6428571428571429,0.4625,0.5,0.03614457831325301,0.058823529411764705,131.0,130.75,205.25,221.25,duelist,8,3,1
sage,0.10357142857142858,0.1485148514851485,0.20689655172413793,0.5555555555555556,0.4642857142857143,0.5412541254125413,0.2391304347826087,0.16758241758241757,115.22077922077924,115.50216450216452,177.86147186147184,179.82034632034632,sentinel,42,1,5
skye,0.08616187989556136,0.11410459587955626,0.45454545454545453,0.5625,0.4525674499564839,0.4754358161648177,0.24655737704918032,0.1852808263395739,96.70599489795919,112.3701672335601,149.4596088435374,174.60758219954647,initiator,178,1,4
sova,0.07775884107371112,0.10674157303370786,0.4410958904109589,0.5614035087719298,0.4737963357477631,0.49583853516437787,0.15787585217079297,0.17180768567982077,116.30833843111621,125.65341524730414,170.57290861401972,183.5525919759253,initiator,722,0,4
tejo,0.10490566037735849,0.10476935105551212,0.460431654676259,0.44776119402985076,0.5086792452830189,0.46677091477716964,0.12943495400788435,0.15910585141354372,122.64949494949495,126.97806637806637,183.1924963924964,182.48535353535354,initiator,188,0,2
veto,0.16539440203562342,0.15188335358444716,0.49230769230769234,0.624,0.5178117048346056,0.520048602673147,0.06982248520710059,0.08044692737430167,147.28379556950986,132.16518402232688,223.83342054770625,193.81349206349208,sentinel,102,3,1
viper,0.12255373756817453,0.12665803946942736,0.4816753926701571,0.5261813537675607,0.5102662816811037,0.5076027175671304,0.12835570469798657,0.1618763557483731,131.6265382438482,131.76580573115763,197.90144753396905,198.552353316277,controller,876,0,2
vyse,0.10565110565110565,0.09230769230769231,0.5813953488372093,0.5,0.5135135135135135,0.5487179487179488,0.1284796573875803,0.13140311804008908,126.97222222222221,138.07738095238096,196.50793650793653,201.39285714285714,sentinel,50,0,2
waylay,0.23842117271275381,0.19360902255639098,0.46124401913875596,0.5242718446601942,0.4834588181610769,0.4948308270676692,0.11881785283474065,0.12876151484135107,121.32785026209396,123.8217060406136,191.30768140200914,190.44042650471224,duelist,588,3,1
yoru,0.1957142857142857,0.18474195961106957,0.4591240875912409,0.5919028340080972,0.49785714285714283,0.5365744203440539,0.11982899534766754,0.12051045915011183,126.82549254876179,140.7786036328344,199.15204942493403,217.60826815634508,duelist,906,3,1
