tournament,stage,match_type,match_name,map,player,team,agents,rating,acs,kills,deaths,assists,kd,kast,adr,hs,fk,fd,fkd,side,k2,k3,k4,k5,v1,v2,v3,v4,v5,econ,plants,defuses,won,score,opp_score,role
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,GLYPH,Gentle Mates,astra,1.23,245.0,6.0,6.0,10.0,0.0,100.0,150.0,15.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,1,13,7,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Minny,Gentle Mates,cypher,1.22,216.0,16.0,11.0,4.0,5.0,80.0,120.0,29.0,2.0,2.0,0.0,both,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,1,13,7,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Minny,Gentle Mates,cypher,0.94,196.0,8.0,8.0,1.0,0.0,75.0,114.0,32.0,1.0,2.0,-1.0,attack,,,,,,,,,,,,,1,13,7,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Minny,Gentle Mates,cypher,1.66,248.0,8.0,3.0,3.0,5.0,88.0,130.0,25.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,1,13,7,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,starxo,Gentle Mates,fade,0.95,129.0,7.0,10.0,11.0,-3.0,75.0,91.0,15.0,0.0,1.0,-1.0,both,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,0.0,1,13,7,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,starxo,Gentle Mates,fade,0.84,113.0,3.0,6.0,5.0,-3.0,75.0,89.0,14.0,0.0,1.0,-1.0,attack,,,,,,,,,,,,,1,13,7,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,starxo,Gentle Mates,fade,1.1,153.0,4.0,4.0,6.0,0.0,75.0,95.0,18.0,0.0,0.0,0.0,defend,,,,,,,,,,,,,1,13,7,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,bipo,Gentle Mates,neon,0.73,146.0,11.0,14.0,2.0,-3.0,65.0,92.0,23.0,5.0,5.0,0.0,both,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,1,13,7,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,bipo,Gentle Mates,neon,0.5,131.0,6.0,10.0,1.0,-4.0,67.0,87.0,19.0,2.0,4.0,-2.0,attack,,,,,,,,,,,,,1,13,7,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,bipo,Gentle Mates,neon,1.09,171.0,5.0,4.0,1.0,1.0,63.0,99.0,30.0,3.0,1.0,2.0,defend,,,,,,,,,,,,,1,13,7,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,CHICHOO,EDward Gaming,killjoy,0.94,169.0,13.0,14.0,2.0,-1.0,65.0,114.0,31.0,2.0,2.0,0.0,both,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0,7,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,CHICHOO,EDward Gaming,killjoy,1.0,217.0,6.0,6.0,0.0,0.0,63.0,142.0,40.0,1.0,2.0,-1.0,attack,,,,,,,,,,,,,0,7,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,CHICHOO,EDward Gaming,killjoy,0.9,138.0,7.0,8.0,2.0,-1.0,67.0,95.0,24.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,0,7,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,cb,EDward Gaming,yoru,0.9,203.0,15.0,16.0,1.0,-1.0,70.0,136.0,33.0,3.0,1.0,2.0,both,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0,7,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,cb,EDward Gaming,yoru,0.64,167.0,5.0,8.0,0.0,-3.0,50.0,102.0,36.0,1.0,1.0,0.0,attack,,,,,,,,,,,,,0,7,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,cb,EDward Gaming,yoru,1.08,228.0,10.0,8.0,1.0,2.0,83.0,159.0,31.0,2.0,0.0,2.0,defend,,,,,,,,,,,,,0,7,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Smoggy,EDward Gaming,astra,0.86,159.0,12.0,13.0,4.0,-1.0,75.0,102.0,37.0,1.0,1.0,0.0,both,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,0.0,0,7,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Smoggy,EDward Gaming,astra,0.96,222.0,6.0,6.0,1.0,0.0,63.0,138.0,26.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,0,7,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Smoggy,EDward Gaming,astra,0.78,118.0,6.0,7.0,3.0,-1.0,83.0,78.0,55.0,1.0,1.0,0.0,defend,,,,,,,,,,,,,0,7,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,ZmjjKK,EDward Gaming,neon,0.72,147.0,11.0,15.0,2.0,-4.0,50.0,94.0,52.0,3.0,5.0,-2.0,both,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0,7,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,ZmjjKK,EDward Gaming,neon,0.01,35.0,1.0,8.0,0.0,-7.0,13.0,28.0,40.0,0.0,3.0,-3.0,attack,,,,,,,,,,,,,0,7,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,ZmjjKK,EDward Gaming,neon,1.32,222.0,10.0,7.0,2.0,3.0,75.0,137.0,56.0,3.0,2.0,1.0,defend,,,,,,,,,,,,,0,7,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,nobody,EDward Gaming,sova,0.46,121.0,6.0,16.0,4.0,-10.0,40.0,80.0,10.0,1.0,1.0,0.0,both,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0,7,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,nobody,EDward Gaming,sova,0.14,53.0,1.0,7.0,1.0,-6.0,38.0,36.0,33.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,0,7,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,nobody,EDward Gaming,sova,0.68,168.0,5.0,9.0,3.0,-4.0,42.0,110.0,7.0,1.0,1.0,0.0,defend,,,,,,,,,,,,,0,7,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,happywei,Xi Lai Gaming,viper,0.9,255.0,11.0,12.0,1.0,-1.0,53.0,186.0,17.0,3.0,0.0,3.0,both,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0,2,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,happywei,Xi Lai Gaming,viper,0.02,51.0,0.0,3.0,0.0,-3.0,33.0,51.0,0.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,0,2,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,happywei,Xi Lai Gaming,viper,1.17,306.0,11.0,9.0,1.0,2.0,58.0,220.0,19.0,3.0,0.0,3.0,defend,,,,,,,,,,,,,0,2,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Rarga,Xi Lai Gaming,neon,0.47,189.0,9.0,13.0,1.0,-4.0,47.0,111.0,25.0,0.0,4.0,-4.0,both,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0,2,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Rarga,Xi Lai Gaming,neon,0.39,137.0,2.0,3.0,0.0,-1.0,67.0,59.0,20.0,0.0,1.0,-1.0,attack,,,,,,,,,,,,,0,2,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Rarga,Xi Lai Gaming,neon,0.49,203.0,7.0,10.0,1.0,-3.0,42.0,124.0,26.0,0.0,3.0,-3.0,defend,,,,,,,,,,,,,0,2,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,NoMan,Xi Lai Gaming,killjoy,0.43,119.0,5.0,13.0,2.0,-8.0,47.0,71.0,29.0,1.0,3.0,-2.0,both,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0,2,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,NoMan,Xi Lai Gaming,killjoy,0.76,204.0,2.0,3.0,0.0,-1.0,67.0,117.0,33.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,0,2,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,NoMan,Xi Lai Gaming,killjoy,0.35,99.0,3.0,10.0,2.0,-7.0,42.0,59.0,25.0,1.0,3.0,-2.0,defend,,,,,,,,,,,,,0,2,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Lysoar,Xi Lai Gaming,omen,0.41,74.0,3.0,12.0,6.0,-9.0,67.0,49.0,12.0,0.0,2.0,-2.0,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0,2,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Lysoar,Xi Lai Gaming,omen,0.19,118.0,1.0,3.0,1.0,-2.0,33.0,75.0,13.0,0.0,2.0,-2.0,attack,,,,,,,,,,,,,0,2,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Lysoar,Xi Lai Gaming,omen,0.46,64.0,2.0,9.0,5.0,-7.0,75.0,43.0,12.0,0.0,0.0,0.0,defend,,,,,,,,,,,,,0,2,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,WsLeo,Xi Lai Gaming,sova,0.33,78.0,4.0,12.0,1.0,-8.0,47.0,53.0,5.0,0.0,2.0,-2.0,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,0,2,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,WsLeo,Xi Lai Gaming,sova,0.41,144.0,1.0,3.0,1.0,-2.0,67.0,103.0,13.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,0,2,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,WsLeo,Xi Lai Gaming,sova,0.3,62.0,3.0,9.0,0.0,-6.0,42.0,40.0,0.0,0.0,2.0,-2.0,defend,,,,,,,,,,,,,0,2,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,mada,Mega Minors,neon,1.75,304.0,17.0,7.0,4.0,10.0,93.0,179.0,23.0,5.0,2.0,3.0,both,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,1,13,2,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,mada,Mega Minors,neon,1.58,253.0,11.0,5.0,3.0,6.0,92.0,157.0,34.0,4.0,2.0,2.0,attack,,,,,,,,,,,,,1,13,2,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,mada,Mega Minors,neon,2.44,511.0,6.0,2.0,1.0,4.0,100.0,268.0,8.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,1,13,2,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,keiko,Mega Minors,viper,1.58,213.0,12.0,4.0,7.0,8.0,100.0,123.0,25.0,1.0,0.0,1.0,both,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,1,13,2,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,keiko,Mega Minors,viper,1.55,205.0,9.0,3.0,5.0,6.0,100.0,121.0,41.0,1.0,0.0,1.0,attack,,,,,,,,,,,,,1,13,2,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,keiko,Mega Minors,viper,1.7,249.0,3.0,1.0,2.0,2.0,100.0,133.0,0.0,0.0,0.0,0.0,defend,,,,,,,,,,,,,1,13,2,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,skuba,Mega Minors,killjoy,1.44,244.0,14.0,7.0,4.0,7.0,93.0,159.0,14.0,4.0,0.0,4.0,both,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1.0,1,13,2,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,skuba,Mega Minors,killjoy,1.25,221.0,10.0,6.0,2.0,4.0,92.0,146.0,16.0,2.0,0.0,2.0,attack,,,,,,,,,,,,,1,13,2,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,skuba,Mega Minors,killjoy,2.19,338.0,4.0,1.0,2.0,3.0,100.0,207.0,11.0,2.0,0.0,2.0,defend,,,,,,,,,,,,,1,13,2,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,brawk,Mega Minors,sova,1.26,200.0,10.0,8.0,6.0,2.0,80.0,138.0,19.0,0.0,0.0,0.0,both,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,1,13,2,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,brawk,Mega Minors,sova,1.52,233.0,10.0,6.0,5.0,4.0,83.0,154.0,22.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,1,13,2,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,brawk,Mega Minors,sova,0.22,72.0,0.0,2.0,1.0,-2.0,67.0,72.0,0.0,0.0,0.0,0.0,defend,,,,,,,,,,,,,1,13,2,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Ethan,Mega Minors,omen,1.17,155.0,9.0,6.0,8.0,3.0,87.0,86.0,15.0,1.0,2.0,-1.0,both,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,0.0,1,13,2,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Ethan,Mega Minors,omen,0.98,152.0,7.0,6.0,4.0,1.0,83.0,88.0,15.0,1.0,2.0,-1.0,attack,,,,,,,,,,,,,1,13,2,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Ethan,Mega Minors,omen,1.93,168.0,2.0,0.0,4.0,2.0,100.0,79.0,17.0,0.0,0.0,0.0,defend,,,,,,,,,,,,,1,13,2,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Lysoar,Xi Lai Gaming,omen,1.24,225.0,21.0,14.0,5.0,7.0,91.0,141.0,40.0,0.0,1.0,-1.0,both,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0,10,13,controller
